bacteria
0-100
Protein Id	Score	Localization	Gene Ontology Terms
tr|T2K9J3|T2K9J3_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6J2|T2K6J2_SALTM	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAS2|T2KAS2_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9U6|T2K9U6_SALTM	12	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K7A8|T2K7A8_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9S9|T2K9S9_SALTM	80	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KED2|T2KED2_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4R6|T2K4R6_SALTM	21	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|T2K471|T2K471_SALTM	100	secreted	host cell GO:0043657(IDA); host cell membrane GO:0033644(IEA); membrane GO:0016020(IEA);
tr|T2KCA1|T2KCA1_SALTM	97	inner membrane	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); integral to membrane GO:0016021(ISS); plasma membrane GO:0005886(IEA);
tr|T2K8Y0|T2K8Y0_SALTM	94	inner membrane	integral to plasma membrane GO:0005887(IDA); plasma membrane respiratory chain complex I GO:0045272(IDA);
tr|T2K637|T2K637_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDY1|T2KDY1_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBU2|T2KBU2_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KD61|T2KD61_SALTM	88	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K919|T2K919_SALTM	30	cytoplasm	cytoplasm GO:0005737(IEA); type III protein secretion system complex GO:0030257(IEA);
tr|T2K581|T2K581_SALTM	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCD2|T2KCD2_SALTM	74	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5S3|T2K5S3_SALTM	92	inner membrane	integral to plasma membrane GO:0005887(IDA); protein complex GO:0043234(IDA);
tr|T2K8H8|T2K8H8_SALTM	71	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K516|T2K516_SALTM	68	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3J3|T2K3J3_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4K0|T2K4K0_SALTM	10	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K2K1|T2K2K1_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCS4|T2KCS4_SALTM	31	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K911|T2K911_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8U7|T2K8U7_SALTM	94	cytoplasm	cytoplasm GO:0005737(IMP);
tr|T2KCK8|T2KCK8_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7A1|T2K7A1_SALTM	95	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAG2|T2KAG2_SALTM	92	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KA77|T2KA77_SALTM	100	secreted	extracellular region GO:0005576(IEA);
tr|T2K406|T2K406_SALTM	14	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|T2K6V9|T2K6V9_SALTM	21	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K616|T2K616_SALTM	23	cytoplasm	membrane GO:0016020(IEA);
tr|T2K2T8|T2K2T8_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
