archaea
0-100
Protein Id	Score	Localization	Gene Ontology Terms
tr|F4B4I9|F4B4I9_ACIHW	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B5D0|F4B5D0_ACIHW	53	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B7J0|F4B7J0_ACIHW	47	cytoplasm	cytoplasm GO:0005737(IEA); proteasome-activating nucleotidase complex GO:0022623(IDA);
tr|F4B3W8|F4B3W8_ACIHW	82	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B693|F4B693_ACIHW	16	plasma membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|F4B7Q4|F4B7Q4_ACIHW	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B5B1|F4B5B1_ACIHW	53	plasma membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA); respiratory chain GO:0070469(IEA);
tr|F4B4Q9|F4B4Q9_ACIHW	28	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B9X4|F4B9X4_ACIHW	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B4D5|F4B4D5_ACIHW	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B972|F4B972_ACIHW	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B9B1|F4B9B1_ACIHW	23	plasma membrane	voltage-gated potassium channel complex GO:0008076(IEA);
tr|F4B934|F4B934_ACIHW	64	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B9C2|F4B9C2_ACIHW	50	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B4W6|F4B4W6_ACIHW	29	plasma membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA); respiratory chain GO:0070469(IEA);
tr|F4B688|F4B688_ACIHW	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B906|F4B906_ACIHW	38	cytoplasm	cytoplasm GO:0005737(IEA);
tr|F4B6H7|F4B6H7_ACIHW	1	plasma membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|F4B6F3|F4B6F3_ACIHW	10	cytoplasm	cytoplasm GO:0005737(IEA);
