Eukaryota
0-100
Protein Id	Score	Localization	Gene Ontology
tr|Q8STW1|Q8STW1_ENCCU	1	chloroplast	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	2	chloroplast membrane	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	100	cytoplasm	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	3	endoplasmic reticulum	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	4	endoplasmic reticulum membrane	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	5	extra-cellular	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	6	golgi apparatus	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	7	golgi apparatus membrane	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	8	mitochondrion	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	9	mitochondrion membrane	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	10	nucleus	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	11	nucleus membrane	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	12	peroxisome	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	13	peroxisome membrane	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	14	plastid	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	15	vacuole	This is not needed
tr|Q8STW1|Q8STW1_ENCCU	16	vacuole membrane	This is not needed
